State,District,courtLink,courtID
Haryana,Hisar,https://districts.ecourts.gov.in/hisar,110
Haryana,Jhajjar,https://districts.ecourts.gov.in/jhajjar,111
Haryana,Jind,https://districts.ecourts.gov.in/jind,112
Haryana,Kaithal,https://districts.ecourts.gov.in/kaithal,113
Haryana,Karnal,https://districts.ecourts.gov.in/karnal,114
Haryana,Kurukshetra,https://districts.ecourts.gov.in/kurukshetra,115
Haryana,Mahendragarh,https://districts.ecourts.gov.in/mahendragarh,116
Haryana,Mewat,https://districts.ecourts.gov.in/mewat,117
Haryana,Palwal,https://districts.ecourts.gov.in/palwal,118
Haryana,Panchkula,https://districts.ecourts.gov.in/panchkula,119
Haryana,Panipat,https://districts.ecourts.gov.in/panipat,120
Haryana,Rewari,https://districts.ecourts.gov.in/rewari,121
Haryana,Rohtak,https://districts.ecourts.gov.in/rohtak,122
Haryana,Sirsa,https://districts.ecourts.gov.in/sirsa,123
Haryana,Sonipat,https://districts.ecourts.gov.in/sonipat,124
Haryana,Yamunanagar,https://districts.ecourts.gov.in/yamunanagar,125
West Bengal,Bankura,https://districts.ecourts.gov.in/bankura,126
West Bengal,Purba Bardhaman,https://districts.ecourts.gov.in/purba-bardhaman,127
West Bengal,Birbhum,https://districts.ecourts.gov.in/birbhum,128
West Bengal,Cooch Behar,https://districts.ecourts.gov.in/coochbehar,129
West Bengal,Darjeeling,https://districts.ecourts.gov.in/darjeeling,130
West Bengal,East Medinipur,https://districts.ecourts.gov.in/east-medinipur,131
West Bengal,Hooghly,https://districts.ecourts.gov.in/hooghly,132
West Bengal,Howrah,https://districts.ecourts.gov.in/howrah,133
West Bengal,Jalpaiguri,https://districts.ecourts.gov.in/jalpaiguri,134
West Bengal,Malda,https://districts.ecourts.gov.in/malda,135
West Bengal,Murshidabad,https://districts.ecourts.gov.in/murshidabad,136
West Bengal,Nadia,https://districts.ecourts.gov.in/nadia,137
West Bengal,North 24 Parganas,https://districts.ecourts.gov.in/north-24-parganas,138
West Bengal,North Dinajpur,https://districts.ecourts.gov.in/north-dinajpur,139
West Bengal,Purulia,https://districts.ecourts.gov.in/purulia,140
West Bengal,South 24 Parganas,https://districts.ecourts.gov.in/south-24-parganas,141
West Bengal,South Dinajpur,https://districts.ecourts.gov.in/dakshindinajpur,142
West Bengal,West Medinipur,https://districts.ecourts.gov.in/westmedinipur,143
West Bengal,Kolkata-City Civil Court,https://districts.ecourts.gov.in/kolkata-city-civil-court,144
West Bengal,Kolkata-City Sessions Court,https://districts.ecourts.gov.in/kolkata-city-sessions-court,145
West Bengal,Kolkata-Presidency Small Causes Court,https://districts.ecourts.gov.in/kolkata-presidency-small-causes-court,146
West Bengal,Kalimpong,https://districts.ecourts.gov.in/kalimpong,147
West Bengal,Paschim Bardhaman,https://districts.ecourts.gov.in/paschim-bardhaman,148
West Bengal,Jhargram,https://districts.ecourts.gov.in/jhargram,149
Kerala,Alappuzha,https://districts.ecourts.gov.in/alappuzha,150
Kerala,Ernakulam,https://districts.ecourts.gov.in/ernakulam,151
Kerala,Idukki,https://districts.ecourts.gov.in/idukki,152
Kerala,Kannur,https://districts.ecourts.gov.in/kannur,153
Kerala,Kasargod,https://districts.ecourts.gov.in/kasargod,154
Kerala,Kollam,https://districts.ecourts.gov.in/kollam,155
Kerala,Kottayam,https://districts.ecourts.gov.in/kottayam,156
Kerala,Malappuram,https://districts.ecourts.gov.in/malappuram,157
Kerala,Palakkad,https://districts.ecourts.gov.in/palakkad,158
Kerala,Pathanamthitta,https://districts.ecourts.gov.in/pathanamthitta,159
Kerala,Thiruvananthapuram,https://districts.ecourts.gov.in/thiruvananthapuram,160
Kerala,Thrissur,https://districts.ecourts.gov.in/thrissur,161
Kerala,Wayanad,https://districts.ecourts.gov.in/wayanad,162
Kerala,Kozhikode,https://districts.ecourts.gov.in/kozhikode,163
